PS2_features_std,PS2_features_mean,PS2_features_median,PS2_features_q25,PS2_features_max_min,FS1_features_mean,FS1_features_median,FS1_features_q25,FS1_features_q75,FS1_features_max_min
47.114507712259,109.46691350000005,129.365,120.19,156.99,6.709815000000007,7.836,7.68775,7.934,18.71
47.04561102371902,109.3548903333334,129.385,120.13,157.56,6.715314999999993,7.853,7.724,7.95225,18.712
46.992060267562614,109.15884466666672,129.325,120.04,156.97,6.718521666666663,7.8469999999999995,7.69875,7.95425,18.698
46.97222148961298,109.06480716666653,128.865,119.96,156.44,6.720564999999993,7.843,7.711,7.95425,18.896
46.874946219750896,108.93143433333374,129.0,119.8375,158.13,6.690308333333334,7.831,7.69025,7.94325,18.876
46.84425876169337,108.88768166666719,128.93,119.91,156.55,6.699023333333328,7.8395,7.69375,7.93925,18.96
46.7893887096043,108.67646550000013,128.675,119.52,155.04,6.6985733333333295,7.817,7.6715,7.92925,19.208
46.806641202471624,108.6517446666669,128.72,119.11,159.09,6.678026666666669,7.802,7.6755,7.914,19.333
46.76966521659664,108.52973849999994,128.77,118.98,167.22,6.6716516666666665,7.792,7.66575,7.90325,19.577
46.75187690994249,108.51088516666725,128.49,118.93,162.14,6.659990000000001,7.8,7.6355,7.911,19.432
46.678058721866364,108.4378516666666,128.415,118.77,160.94,6.65920833333333,7.7965,7.6425,7.90925,19.415
46.67567363443506,108.3167815,128.29000000000002,118.69,164.73,6.663306666666665,7.795,7.61975,7.905,19.707
46.65072547687663,108.24107966666746,128.28500000000003,118.79,163.84,6.655926666666668,7.7915,7.594,7.91025,19.628
46.628571720529806,108.21403683333382,128.07999999999998,118.75,166.67,6.665409999999999,7.776999999999999,7.5725,7.9182500000000005,20.121
46.58815406428451,108.12740333333399,128.2,118.41,166.99,6.669133333333329,7.781,7.61975,7.89825,20.479
46.52856746114722,108.03851166666695,127.94,118.36,167.12,6.649888333333337,7.781000000000001,7.5875,7.88725,20.479
46.52713113174875,107.98140900000072,127.85,118.31,159.95,6.649658333333331,7.77,7.572,7.892,19.561
46.51865414250025,107.9549878333333,127.715,118.54,162.94,6.639613333333328,7.759,7.58825,7.892250000000001,19.757
46.48517889784531,107.83698666666629,127.81,118.12,166.52,6.6601116666666655,7.772,7.6025,7.871,20.343
46.43967914544024,107.76220716666668,127.655,118.09,157.73,6.648780000000005,7.7684999999999995,7.5817499999999995,7.886,19.874
46.45350781058416,107.79408933333362,127.78,118.3,166.47,6.638245000000004,7.764,7.577999999999999,7.8795,20.479
46.43367296852217,107.73928499999984,127.66,118.35,160.49,6.644133333333335,7.7669999999999995,7.5595,7.866,19.801
46.396564034542976,107.730178666667,127.65,118.24,166.6,6.636838333333332,7.762,7.5435,7.86625,20.479
46.418228578932876,107.73016933333359,127.53999999999999,118.41,160.16,6.632769999999998,7.7595,7.53275,7.87725,19.905
46.33807118676607,107.71205083333352,127.53999999999999,118.45,166.78,6.634750000000003,7.758,7.57175,7.867,20.479
46.28595031591616,107.59213533333364,127.305,118.46,164.56,6.647124999999999,7.75,7.5875,7.873,20.318
46.27680121815207,107.51676166666678,127.28,118.38,165.65,6.6347916666666675,7.739,7.61575,7.83725,20.479
46.285442157198624,107.48398466666728,127.28999999999999,118.46,166.47,6.646880000000003,7.743,7.63375,7.828250000000001,20.463
